"HF","Financing scheme","FS","Revenues of financing schemes","MEASURE","Measure","LOCATION","Country","TIME","Year","Value","Flag Codes","Flags"
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2001","2001",464071.177,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2002","2002",521164.485,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2003","2003",571324.016,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2004","2004",618778.777,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2005","2005",661856.429,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2006","2006",719888.08,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2007","2007",766005.795,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2008","2008",824613.18,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2009","2009",902088.819,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2010","2010",950059.662,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2011","2011",981868.167,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2012","2012",1017300.453,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2013","2013",1051712.619,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2014","2014",1146117.459,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2015","2015",1230138.578,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2016","2016",1282523.418,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2017","2017",1325019.18,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2000","2000",502592.175,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2001","2001",563024.187,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2002","2002",623528.856,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2003","2003",669566.235,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2004","2004",706559.149,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2005","2005",733781.924,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2006","2006",775914.274,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2007","2007",803908.927,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2008","2008",839091.237,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2009","2009",919108.418,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2010","2010",950059.662,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2011","2011",957316.213,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2012","2012",973757.69,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2013","2013",991477.954,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2014","2014",1063713.716,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2015","2015",1138797.91,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2016","2016",1175624.073,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","USA","United States","2017","2017",1192514.73,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2000","2000",31.558,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2001","2001",33.176,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2002","2002",34.02,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2003","2003",34.336,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2004","2004",34.677,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2005","2005",34.759,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2006","2006",35.443,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2007","2007",35.512,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2008","2008",36.629,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2009","2009",38.279,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2010","2010",38.684,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2011","2011",38.637,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2012","2012",38.463,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2013","2013",38.543,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2014","2014",39.781,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2015","2015",40.312,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2016","2016",40.043,,
"HFTOT","All financing schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","USA","United States","2017","2017",39.857,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2006","2006",6.4,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2007","2007",6.488,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2008","2008",6.613,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2009","2009",7.431,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2010","2010",7.387,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2011","2011",7.225,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2012","2012",7.223,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2013","2013",7.133,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2014","2014",7.011,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2015","2015",7.345,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2016","2016",7.424,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2017","2017",7.292,"P","Provisional value"
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","CAN","Canada","2018","2018",7.328,"P","Provisional value"
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2006","2006",95774.086,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2007","2007",102356.036,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2008","2008",109587.643,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2009","2009",116771.866,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2010","2010",123075.376,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2011","2011",128180.361,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2012","2012",131971.146,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2013","2013",135688.884,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2014","2014",139853.5,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2015","2015",146199.9,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2016","2016",150585.074,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2017","2017",156157.215,"P","Provisional value"
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","CAN","Canada","2018","2018",162616.114,"P","Provisional value"
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2006","2006",101865.778,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2007","2007",106820.546,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2008","2008",112068.35,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2009","2009",118366.844,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2010","2010",123075.376,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2011","2011",125066.196,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2012","2012",126924.384,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2013","2013",128154.896,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2014","2014",129539.813,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2015","2015",133923.227,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2016","2016",136721.574,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2017","2017",139909.896,"P","Provisional value"
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","VALREL","Constant prices, OECD base year","CAN","Canada","2018","2018",143238.348,"P","Provisional value"
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2006","2006",97.875,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2007","2007",97.924,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2008","2008",97.89,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2009","2009",97.967,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2010","2010",97.987,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2011","2011",98.053,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2012","2012",97.985,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2013","2013",97.934,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2014","2014",97.949,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2015","2015",97.975,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2016","2016",97.954,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2017","2017",97.925,"P","Provisional value"
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARHF","Share of financing scheme","CAN","Canada","2018","2018",97.983,"P","Provisional value"
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2000","2000",3.958,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2001","2001",4.386,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2002","2002",4.765,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2003","2003",4.986,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2004","2004",5.066,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2005","2005",5.077,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2006","2006",5.183,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2007","2007",5.273,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2008","2008",5.579,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2009","2009",6.216,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2010","2010",6.311,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2011","2011",6.294,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2012","2012",6.262,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2013","2013",6.256,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2014","2014",6.541,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2015","2015",6.752,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2016","2016",6.856,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","PARPIB","Share of gross domestic product","USA","United States","2017","2017",6.8,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2000","2000",405793.159,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2001","2001",464071.177,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2002","2002",521164.485,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2003","2003",571324.016,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2004","2004",618778.777,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2005","2005",661856.429,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2006","2006",716068.056,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2007","2007",762115.847,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2008","2008",820836.712,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2009","2009",898214.111,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2010","2010",946191.131,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2011","2011",978286.106,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2012","2012",1014274.247,,
"HF1","Government/compulsory schemes","FS1","Transfers from government domestic revenue","MLLNCU","Current prices","USA","United States","2013","2013",1049989.965,,
